"","avg_load","Max Load","Average Net Load","Max Net Load","Data Center Load Avg","Data Center Load Max","Mid Atlantic Load Average","Mid Atlantic Load Max","Generation Outages","DA_LMP","RT LMP","Solar Forecast","Wind Forecast","Henry (GASPRICE) Average","TETCO-M3 (GASPRICE) Average","is weekend?","Season","DA/L-AVG","DA/L-Max","DA/NL-Avg","DA/NL-max","DA/Dom-Avg","DA/Dom-max","DA/MidA-Avg","DA/Mid-Anax","Outage/L-Avg","Outage/L-Max","GasBlend","BlendHR","BlendHR/Load","GB/NLA","time","load_lag1","load_lag2","load_slide3","load_slide7","load_slide14","load_slide30","pred_load"
"31",106302.125,111301,105441.749899,109357.094,22247.25,23671,34047.875,36252,16446,46.495348,36.829866,NA,540.932688,2.81,3.2,FALSE,1,0.000437388697544852,0.000417744207149981,0.000440957666621966,0.000425169929991007,0.00208993686860174,0.00196423252080605,0.00136558736778727,0.00128255952775019,0.15514737215272,0.148092378918428,3.005,15.4726615640599,0.000145553643109768,0.00014674132000731,2023-01-31,100383.8125,89647.0625,94757.3333333333,99108.0178571429,97567.8482142857,NA,96292.8148809524
"32",107969.875,113066,104571.794146,106716.641,23242.875,24919,35736.0625,38161,18109,42.918481,33.39329,NA,2511.87375,2.68,4.61,FALSE,1,0.000397504220505951,0.000379587860187855,0.000410421197709188,0.000402172337864345,0.00184652204170095,0.00172231955535936,0.00120098516729424,0.00112466866696365,0.168120213911519,0.160458433923549,3.645,11.774617558299,0.000109054655831537,0.000112598408150669,2023-02-01,106302.125,100383.8125,94199.875,98759.125,97548.6160714286,95566.8979166667,98793.4085813492
"33",106859.6875,114922,100610.075978,105485.746,23903.4375,26593,35738.4375,38670,19402,40.574061,28.930965,NA,5538.235375,2.66,4.28,FALSE,1,0.000379694737550117,0.000353057386749273,0.000403280293803497,0.000384640224282056,0.00169741531944935,0.0015257421501899,0.00113530595734634,0.00104923871217998,0.181944889750871,0.169079296957937,3.47,11.6928129682997,0.000109422114567757,0.000116219104842506,2023-02-02,107969.875,106302.125,98777.6666666667,99347.7053571429,98213.8616071429,96354.6895833333,101160.987202381
"34",115808.0625,121423,112088.358661,114477.217,24916.375,26884,40232.6875,43007,18704,145.168711,44.188932,NA,2295.712063,2.65,23.63,FALSE,1,0.00125352853563196,0.00119556188695717,0.00129512745778577,0.00126810132884345,0.00582623720344553,0.00539981814462134,0.00360822803597199,0.00337546704024926,0.162762145433527,0.154403934444051,13.14,11.047847108067,9.53979098654463e-05,9.85637334692363e-05,2023-02-03,106859.6875,107969.875,104885.270833333,99959.4375,99192.8616071429,97198.8166666667,102677.658184524
"35",107373,119213,98077.895645,105905.579,25456.9375,29866,37522.1875,40922,17528,59.64942,29.35847,NA,7312.585563,2.4,23.63,TRUE,1,0.000555534631611299,0.000500360027849312,0.000608184133720664,0.000563232084307853,0.00234314987810297,0.00199723498292373,0.00158971062121578,0.00145763696789013,0.163799553146508,0.147277213642807,13.015,4.58312869765655,4.26841822213829e-05,4.67294762751182e-05,2023-02-04,115808.0625,106859.6875,107043.895833333,100826.785714286,100054.848214286,97838.025,104738.550793651
"36",92197.125,95899,85479.31351,85431.228,21442.875,23833,31224.625,32940,16862,30.681117,22.199042,NA,5638.25925,2.4,23.63,TRUE,1,0.000332777372396374,0.000319931563415677,0.000358930315887606,0.000359132342098606,0.00143083038072087,0.00128733759912726,0.000982593610011329,0.000931424316939891,0.18322351284815,0.176062305571487,13.015,2.35736588551671,2.55687570031789e-05,2.75782032952444e-05,2023-02-05,107373,115808.0625,110212.541666667,102791.339285714,101426.647321429,98756.0729166667,106061.277281746
"37",97350.6875,102005,90399.330578,91312.012,20817.6875,22974,32552.0625,35161,21348,29.158859,25.821711,NA,5484.48125,2.4,9.44,FALSE,1,0.000299523914507538,0.000285857154061075,0.000322556138563887,0.000319332126861907,0.00140067714053254,0.00126921123879168,0.000895760721766862,0.000829295497852735,0.219589192515975,0.209537000254889,5.92,4.92548293918919,5.05952558289759e-05,5.44858342168728e-05,2023-02-06,92197.125,107373,110013.583333333,104906.232142857,102389.129464286,99334.6916666667,102702.29360119
"38",95142.5625,103876,88269.825307,93344.514,20397.375,24733,32527.6875,36236,22595,27.21921,22.486567,NA,5509.096688,2.19,2.16,FALSE,1,0.000286088678765616,0.000262035600138627,0.000308363700792795,0.00029159946132453,0.00133444671189307,0.00110052197468969,0.000836801263538947,0.000751164863671487,0.237771809120655,0.217735440015018,2.175,12.5145793103448,0.000131535024719823,0.000141776414157607,2023-02-07,97350.6875,92197.125,105126.0625,105270.526785714,102189.272321429,99176.7729166667,100218.407837302
"39",92538.375,97769,89194.374536,89111.045,19168.875,21065,31386.3125,33623,23651,28.360213,23.619828,NA,1769.750688,2.35,2.11,FALSE,1,0.000306469753764317,0.00029007367365934,0.000317959659984537,0.000318256990477443,0.00147949282365293,0.00134631915499644,0.000903585376587326,0.000843476578532552,0.255886924889269,0.24214853202958,2.23,12.7175843049327,0.000137430382853954,0.000142582807167954,2023-02-08,95142.5625,97350.6875,98973.6041666667,104837.223214286,101798.174107143,99323.2645833333,99570.9193452381
"40",92098.25,95962,83669.262214,84968.861,19022.9375,20765,31598.4375,33804,23956,25.118866,23.951969,NA,7488.8995,2.42,2.05,FALSE,1,0.000272739883765435,0.000261758466893145,0.000300216176590081,0.000295624369967723,0.00132045148127097,0.00120967329641223,0.000794940129555457,0.000743073778251095,0.26038625995608,0.249890081167545,2.235,11.2388662192394,0.000122031267903998,0.000134324911225987,2023-02-09,92538.375,95142.5625,94896.7916666667,103243,101295.352678571,99350.35,97744.4053075397
